row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-01 00:51,2024-01-01,00:51,6 °C,Mostly cloudy.,11 km/h,55%,1016 mbar,16 km
2024-01-01 01:51,2024-01-01,01:51,6 °C,Overcast.,7 km/h,57%,1016 mbar,16 km
2024-01-01 02:51,2024-01-01,02:51,5 °C,Overcast.,No wind,60%,1016 mbar,16 km
2024-01-01 03:51,2024-01-01,03:51,5 °C,Overcast.,6 km/h,62%,1015 mbar,16 km
2024-01-01 04:51,2024-01-01,04:51,4 °C,Partly cloudy.,No wind,68%,1015 mbar,16 km
2024-01-01 05:51,2024-01-01,05:51,5 °C,Light rain. Mostly cloudy.,7 km/h,65%,1016 mbar,16 km
2024-01-01 06:20,2024-01-01,06:20,4 °C,Light rain. Overcast.,9 km/h,70%,1017 mbar,16 km
2024-01-01 06:51,2024-01-01,06:51,4 °C,Light rain. Overcast.,6 km/h,79%,1016 mbar,11 km
2024-01-01 07:51,2024-01-01,07:51,4 °C,Light rain. Overcast.,6 km/h,82%,1016 mbar,14 km
2024-01-01 08:51,2024-01-01,08:51,4 °C,More clouds than sun.,6 km/h,80%,1017 mbar,16 km
2024-01-01 09:51,2024-01-01,09:51,5 °C,Overcast.,6 km/h,74%,1017 mbar,16 km
2024-01-01 10:51,2024-01-01,10:51,6 °C,Scattered clouds.,6 km/h,68%,1017 mbar,16 km
2024-01-01 11:51,2024-01-01,11:51,7 °C,Sunny.,6 km/h,60%,1016 mbar,16 km
2024-01-01 12:51,2024-01-01,12:51,8 °C,Partly sunny.,6 km/h,58%,1016 mbar,16 km
2024-01-01 13:51,2024-01-01,13:51,7 °C,Partly sunny.,No wind,56%,1016 mbar,16 km
2024-01-01 14:51,2024-01-01,14:51,8 °C,Overcast.,6 km/h,54%,1016 mbar,16 km
2024-01-01 15:51,2024-01-01,15:51,8 °C,Overcast.,6 km/h,54%,1016 mbar,16 km
2024-01-01 16:51,2024-01-01,16:51,7 °C,Overcast.,9 km/h,56%,1017 mbar,16 km
2024-01-01 17:51,2024-01-01,17:51,6 °C,Clear.,7 km/h,56%,1017 mbar,16 km
2024-01-01 19:51,2024-01-01,19:51,5 °C,Passing clouds.,No wind,58%,1018 mbar,16 km
